Timestamp: 10/dez/2019 17:19:24


"run","tick","NumFireFighters","RngSeed","NumFires","NumFireFighters","NumFires"
1,88591.0,2,1575998364838,1,2.0,1.0
1,88591.0,2,1575998364838,1,2.0,1.0
2,120466.0,3,1575998373864,2,3.0,2.0
2,120466.0,3,1575998373864,2,3.0,2.0
3,182728.0,4,1575998382018,3,4.0,3.0
3,182728.0,4,1575998382018,3,4.0,3.0
4,807185.0,5,1575998393628,4,5.0,4.0
4,807185.0,5,1575998393628,4,5.0,4.0
