Timestamp: 9/dez/2019 12:16:47


"run","tick","NumFireFighters","RngSeed","NumFires","NumFireFighters","NumFires"
1,720.0,2,1575893807578,1,2.0,1.0
2,1.0,3,1575893819872,2,3.0,2.0
3,1.0,4,1575893820079,3,4.0,3.0
4,1.0,5,1575893820488,4,5.0,4.0
5,1.0,6,1575893820824,5,6.0,5.0
6,1.0,7,1575893821031,6,7.0,6.0
7,1.0,8,1575893821344,7,8.0,7.0
8,1.0,9,1575893821568,8,9.0,8.0
9,1.0,10,1575893821810,9,10.0,9.0

End Time: 9/dez/2019 12:17:02
